step,preco,acao,saldo,lucro_acumulado
297,2.1791,SELL,9274.943668032796,-725.0563319672037
298,2.1773,SELL,9312.261589858237,-687.7384101417629
299,2.1641,BUY,9132.397200871274,-867.6027991287265
300,2.1679,BUY,9180.017361457245,-819.982638542755
301,2.1778,SELL,9130.587319132816,-869.4126808671845
303,2.1672,SELL,9200.116472438347,-799.883527561653
304,2.1824,SELL,9311.525759021479,-688.4742409785213
305,2.191,SELL,9496.123628031486,-503.8763719685139
306,2.1594,SELL,9584.35653017944,-415.6434698205594
307,2.1532,SELL,9715.282772076405,-284.7172279235947
308,2.173,SELL,9639.247966999597,-360.75203300040266
309,2.24,SELL,9758.789318296826,-241.2106817031745
310,2.1722,SELL,9878.73727282976,-121.2627271702404
311,2.1896,CLOSE,9962.904142620666,-37.09585737933412
312,2.1847,CLOSE,9958.336565172376,-41.66343482762386
313,2.2063,CLOSE,9958.336565172376,-41.66343482762386
314,2.2317,CLOSE,9958.336565172376,-41.66343482762386
315,2.2397,CLOSE,9958.336565172376,-41.66343482762386
316,2.1847,CLOSE,9958.336565172376,-41.66343482762386
317,2.175,BUY,9953.35739688979,-46.642603110209166
318,2.1989,BUY,10059.2920481968,59.29204819679944
320,2.1885,BUY,10077.986398427447,77.98639842744706
322,2.1784,BUY,10137.424845314636,137.4248453146356
323,2.191,BUY,10106.74693724383,106.74693724382996
324,2.209,HOLD,10240.962785053614,240.96278505361443
325,2.1963,BUY,10335.872563147675,335.87256314767546
326,2.187,BUY,10328.203086129974,328.2030861299736
327,2.1957,CLOSE,10358.401651887174,358.401651887174
328,2.2131,CLOSE,10353.422483604589,353.4224836045887
329,2.2042,CLOSE,10353.422483604589,353.4224836045887
330,2.2449,CLOSE,10353.422483604589,353.4224836045887
331,2.2566,BUY,10348.245772362787,348.24577236278674
332,2.2467,BUY,10604.374095740728,604.3740957407281
333,2.2186,CLOSE,10791.29127291176,791.2912729117597
334,2.2296,CLOSE,10786.114561669958,786.1145616699578
335,2.2022,CLOSE,10786.114561669958,786.1145616699578
336,2.1568,BUY,10780.721504389123,780.7215043891229
339,2.1216,CLOSE,10790.26547161619,790.2654716161906
340,2.0922,BUY,10779.479978128187,779.4799781281872
341,2.0627,BUY,10876.839332621597,876.8393326215974
343,2.0935,SELL,10804.397378861515,804.3973788615149
344,2.0892,SELL,10959.821583095385,959.821583095385
345,2.0934,BUY,11039.802516182033,1039.8025161820333
346,2.1164,BUY,10927.371500620578,927.3715006205784
347,2.1148,BUY,10983.587008401306,983.5870084013059
348,2.0775,BUY,11090.90752325542,1090.9075232554205
349,2.0996,BUY,10910.50684828636,910.5068482863608
350,2.0967,BUY,10997.896410381853,997.8964103818525
351,2.1035,SELL,11050.216084585189,1050.2160845851886
352,2.107,SELL,11239.115888968865,1239.115888968865
353,2.1159,SELL,11074.722005153882,1074.7220051538825
354,2.1095,SELL,11073.700925130188,1073.700925130188
355,2.1375,SELL,10964.955902606613,964.9559026066127
356,2.1573,SELL,11068.084984999861,1068.0849849998613
357,2.1557,SELL,11003.246403495194,1003.2464034951936
358,2.162,SELL,11002.735863483347,1002.7358634833472
359,2.178,BUY,10947.824899710915,947.8248997109149
360,2.1733,BUY,10866.053893357099,866.0538933570988
361,2.1634,BUY,10799.834428088978,799.8344280889778
362,2.199,BUY,10930.26670816255,930.2667081625495
363,2.2534,BUY,11099.828672258194,1099.8286722581943
364,2.2931,BUY,10999.997811740344,999.9978117403443
365,2.2904,BUY,11009.027738822362,1009.0277388223622
366,2.305,BUY,11027.087592986394,1027.0875929863942
368,2.2771,CLOSE,11161.53317398531,1161.53317398531
369,2.2716,CLOSE,11156.056523210067,1156.056523210067
370,2.2623,CLOSE,11156.056523210067,1156.056523210067
371,2.2044,SELL,11150.478494948462,1150.478494948462
372,2.2243,SELL,11339.088083650217,1339.0880836502165
373,2.246,CLOSE,11269.362730380153,1269.3627303801532
374,2.2117,CLOSE,11263.784702118548,1263.784702118548
375,2.1799,BUY,11258.152809767489,1258.152809767489
376,2.1613,BUY,11328.361533838746,1328.3615338387463
377,2.1393,SELL,11217.568368124019,1217.568368124019
378,2.1503,CLOSE,11141.672411873438,1141.6724118734383
380,2.136,CLOSE,11136.060821894387,1136.0608218943871
381,2.1531,CLOSE,11136.060821894387,1136.0608218943871
382,2.1655,CLOSE,11136.060821894387,1136.0608218943871
383,2.1285,CLOSE,11136.060821894387,1136.0608218943871
384,2.1607,CLOSE,11136.060821894387,1136.0608218943871
385,2.1609,CLOSE,11136.060821894387,1136.0608218943871
386,2.1822,CLOSE,11136.060821894387,1136.0608218943871
387,2.162,CLOSE,11136.060821894387,1136.0608218943871
388,2.1747,SELL,11130.49279148344,1130.4927914834407
390,2.1834,CLOSE,11001.50170147615,1001.5017014761506
392,2.1539,HOLD,10995.933671065204,995.9336710652042
393,2.1799,SELL,10990.435704229672,990.4357042296724
394,2.2137,SELL,11001.639848243663,1001.6398482436634
395,2.1938,SELL,11113.681288383583,1113.6812883835828
396,2.1956,CLOSE,11214.985423843425,1214.9854238434255
397,2.1992,SELL,11203.88271327939,1203.8827132793904
398,2.2135,CLOSE,11028.87044469331,1028.8704446933098
399,2.226,BUY,11017.754068114324,1017.7540681143237
400,2.2174,BUY,10928.830062459685,928.830062459685
401,2.235,BUY,10852.677057617148,852.6770576171475
402,2.224,CLOSE,10844.636057105823,844.636057105823
403,2.1864,CLOSE,10839.12442425534,839.1244242553403
404,2.2003,HOLD,10839.12442425534,839.1244242553403
405,2.1802,BUY,10833.704862043212,833.7048620432124
406,2.1498,CLOSE,10778.255811811658,778.2558118116576
407,2.1632,CLOSE,10772.83624959953,772.8362495995298
408,2.1442,CLOSE,10772.83624959953,772.8362495995298
409,2.1587,SELL,10767.44983147473,767.4498314747307
410,2.1478,SELL,10482.067375691266,482.0673756912656
411,2.1416,CLOSE,10563.136611899048,563.1366118990481
412,2.1445,SELL,10552.471318677362,552.4713186773624
413,2.1569,SELL,10327.304950084155,327.3049500841553
414,2.1737,SELL,10180.992390735126,180.9923907351258
415,2.1791,BUY,10284.974849442438,284.9748494424384
416,2.1636,BUY,10315.76671160652,315.7667116065204
417,2.1591,SELL,10522.202018523187,522.2020185231868
418,2.168,SELL,10242.746285143803,242.7462851438031
420,2.2014,HOLD,9887.035964051594,-112.96403594840558
421,2.2095,CLOSE,9628.810201114984,-371.189798885016
424,2.3554,HOLD,9623.546468239285,-376.4535317607151
425,2.353,SELL,9618.734695005165,-381.2653049948349
426,2.329,SELL,9723.964740995663,-276.0352590043367
427,2.3073,BUY,9683.94711611327,-316.05288388673034
428,2.3186,BUY,9760.264378347245,-239.73562165275507
429,2.3548,BUY,9874.040113329087,-125.95988667091297
430,2.3305,BUY,9690.948699804461,-309.0513001955387
431,2.3117,SELL,9479.366560250406,-520.6334397495939
432,2.2956,SELL,9563.64954178027,-436.35045821972926
433,2.2939,SELL,9502.79792855954,-497.2020714404607
435,2.2986,SELL,9475.519619184728,-524.4803808152719
436,2.3262,BUY,9594.325944951233,-405.6740550487666
437,2.3143,CLOSE,9657.093458453022,-342.9065415469777
438,2.3005,SELL,9647.46774875132,-352.53225124868004
439,2.3184,SELL,9538.681282867192,-461.31871713280816
440,2.2989,SELL,9497.886358160646,-502.1136418393544
441,2.3598,SELL,9703.292382560277,-296.7076174397225
442,2.3425,SELL,9693.630426708727,-306.3695732912729
443,2.3163,SELL,9620.986832713736,-379.01316728626443
444,2.3657,SELL,9607.746374694943,-392.25362530505663
445,2.3978,BUY,9553.409856181253,-446.5901438187466
446,2.3727,BUY,9772.613425044854,-227.386574955146
447,2.3798,SELL,9697.994669959297,-302.0053300407035
448,2.4298,SELL,9793.450910457617,-206.54908954238272
449,2.4943,SELL,9744.66996402649,-255.33003597350944
450,2.4473,BUY,9743.01626327088,-256.9837367291202
451,2.5764,SELL,9473.502007338704,-526.4979926612959
452,2.636,CLOSE,9423.204528353608,-576.7954716463919
453,2.756,CLOSE,9418.465407789658,-581.5345922103425
454,2.7474,BUY,9413.756175085762,-586.2438249142378
455,2.764,BUY,9079.430728410916,-920.5692715890837
456,2.7893,HOLD,9173.503474389508,-826.4965256104915
457,2.7588,CLOSE,9117.199711926485,-882.8002880735148
459,2.7894,CLOSE,9112.49047922259,-887.5095207774102
460,2.8219,CLOSE,9112.49047922259,-887.5095207774102
461,2.7696,CLOSE,9112.49047922259,-887.5095207774102
