data,par,preco,adx,sinal,confianca
22:44:45,1764294285.065343,SQDUSDT,0.08361,32.7,NEUTRO,42.9
22:44:46,1764294286.59914,TRADOORUSDT,1.993,22.5,NEUTRO,46.6
22:44:48,1764294288.087667,YALAUSDT,0.04458,18.2,NEUTRO,52.0
22:44:49,1764294289.56824,MUSDT,1.2208,10.4,NEUTRO,46.8
22:44:51,1764294291.030536,CLOUSDT,0.3299,13.8,NEUTRO,45.4
22:44:52,1764294292.479075,SQDUSDT,0.08368,32.7,NEUTRO,43.1
22:44:53,1764294293.936154,TRADOORUSDT,1.99,22.5,NEUTRO,47.2
22:44:55,1764294295.396585,YALAUSDT,0.04465,18.2,NEUTRO,55.6
22:44:56,1764294296.863376,MUSDT,1.2221,10.4,NEUTRO,48.1
22:44:58,1764294298.374947,CLOUSDT,0.3298,13.8,NEUTRO,45.4
22:44:59,1764294299.833916,SQDUSDT,0.08388,32.7,NEUTRO,42.8
22:45:01,1764294301.313714,TRADOORUSDT,1.989,22.5,NEUTRO,46.8
22:45:02,1764294302.835102,YALAUSDT,0.04466,18.2,NEUTRO,55.6
22:45:04,1764294304.295763,MUSDT,1.2202,10.1,NEUTRO,43.0
22:45:07,1764294307.299671,SQDUSDT,0.08406,34.6,NEUTRO,34.5
22:45:08,1764294308.757796,TRADOORUSDT,1.988,21.0,NEUTRO,43.4
22:45:10,1764294310.248655,YALAUSDT,0.04472,18.1,NEUTRO,47.2
22:45:11,1764294311.72754,MUSDT,1.2255,10.1,NEUTRO,44.3
22:45:14,1764294314.849408,SQDUSDT,0.0837,34.6,NEUTRO,34.7
22:45:16,1764294316.318161,TRADOORUSDT,1.99,21.0,NEUTRO,43.0
22:45:17,1764294317.783056,YALAUSDT,0.04474,18.1,NEUTRO,46.5
22:45:19,1764294319.249512,MUSDT,1.2255,10.1,NEUTRO,44.3
22:45:22,1764294322.176553,SQDUSDT,0.08376,34.6,NEUTRO,34.7
22:45:23,1764294323.635263,TRADOORUSDT,1.996,21.0,NEUTRO,43.5
22:45:25,1764294325.097417,YALAUSDT,0.04483,18.1,NEUTRO,46.2
22:45:26,1764294326.568368,MUSDT,1.2256,10.1,NEUTRO,44.5
22:45:28,1764294328.049763,CLOUSDT,0.3273,13.8,NEUTRO,42.4
22:45:29,1764294329.785179,SQDUSDT,0.08372,34.6,NEUTRO,34.5
22:45:31,1764294331.281698,TRADOORUSDT,1.994,21.0,NEUTRO,42.8
22:45:32,1764294332.735355,YALAUSDT,0.04498,18.1,NEUTRO,45.8
22:45:34,1764294334.214468,MUSDT,1.2232,10.1,NEUTRO,42.6
22:45:35,1764294335.685685,CLOUSDT,0.3273,13.8,NEUTRO,42.4
22:45:37,1764294337.151524,SQDUSDT,0.0836,34.6,NEUTRO,34.5
22:45:38,1764294338.603627,TRADOORUSDT,1.997,21.0,NEUTRO,43.6
22:45:40,1764294340.057622,YALAUSDT,0.04521,18.1,NEUTRO,44.3
22:45:41,1764294341.499775,MUSDT,1.2234,10.1,NEUTRO,43.2
22:45:42,1764294342.976913,CLOUSDT,0.3271,13.8,NEUTRO,43.2
22:45:44,1764294344.438556,SQDUSDT,0.08343,34.6,NEUTRO,34.1
22:45:45,1764294345.882813,TRADOORUSDT,1.992,21.0,NEUTRO,42.5
22:45:47,1764294347.332679,YALAUSDT,0.04514,18.1,NEUTRO,45.0
22:45:48,1764294348.793034,MUSDT,1.2239,10.1,NEUTRO,43.5
22:45:50,1764294350.243661,CLOUSDT,0.3271,13.8,NEUTRO,43.2
22:45:51,1764294351.693598,SQDUSDT,0.08349,34.6,NEUTRO,34.1
22:45:53,1764294353.163507,TRADOORUSDT,1.994,21.0,NEUTRO,42.8
22:45:54,1764294354.614873,YALAUSDT,0.04519,18.1,NEUTRO,43.4
22:45:56,1764294356.055823,MUSDT,1.2249,10.1,NEUTRO,44.2
22:45:57,1764294357.571621,CLOUSDT,0.3272,13.8,NEUTRO,42.8
22:45:59,1764294359.01142,SQDUSDT,0.08368,34.6,NEUTRO,34.3
22:46:00,1764294360.577279,TRADOORUSDT,1.995,21.0,NEUTRO,42.9
22:46:02,1764294362.03193,YALAUSDT,0.04509,18.1,NEUTRO,44.1
22:46:03,1764294363.494116,MUSDT,1.2246,10.1,NEUTRO,43.7
